Date,Close
04/01/2021 16:00:00,9.43
05/01/2021 16:00:00,9.53
06/01/2021 16:00:00,9.47
07/01/2021 16:00:00,9.6
08/01/2021 16:00:00,9.1
11/01/2021 16:00:00,8.73
12/01/2021 16:00:00,8.86
13/01/2021 16:00:00,8.56
14/01/2021 16:00:00,8.94
15/01/2021 16:00:00,8.42
18/01/2021 16:00:00,8.42
19/01/2021 16:00:00,8.67
20/01/2021 16:00:00,8.81
21/01/2021 16:00:00,8.66
22/01/2021 16:00:00,8.59
25/01/2021 16:00:00,7.94
26/01/2021 16:00:00,7.61
27/01/2021 16:00:00,7.16
28/01/2021 16:00:00,7.55
29/01/2021 16:00:00,7.28
01/02/2021 16:00:00,7.94
02/02/2021 16:00:00,7.6
03/02/2021 16:00:00,7.68
04/02/2021 16:00:00,7.68
05/02/2021 16:00:00,7.93
08/02/2021 16:00:00,8.14
09/02/2021 16:00:00,8.22
10/02/2021 16:00:00,8.48
11/02/2021 16:00:00,8.4
12/02/2021 16:00:00,8.59
16/02/2021 16:00:00,8.99
17/02/2021 16:00:00,9.01
18/02/2021 16:00:00,9.4
19/02/2021 16:00:00,10.21
22/02/2021 16:00:00,10.18
23/02/2021 16:00:00,10
24/02/2021 16:00:00,10.42
25/02/2021 16:00:00,9.77
26/02/2021 16:00:00,9.11
01/03/2021 16:00:00,9
02/03/2021 16:00:00,9
03/03/2021 16:00:00,8.84
04/03/2021 16:00:00,8.16
05/03/2021 16:00:00,9.09
08/03/2021 16:00:00,8.69
09/03/2021 16:00:00,8.71
10/03/2021 16:00:00,8.76
11/03/2021 16:00:00,9.62
12/03/2021 16:00:00,9.48
15/03/2021 16:00:00,9.5
16/03/2021 16:00:00,9.06
17/03/2021 16:00:00,9.22
18/03/2021 16:00:00,8.91
19/03/2021 16:00:00,8.64
22/03/2021 16:00:00,8.73
23/03/2021 16:00:00,8
24/03/2021 16:00:00,7.76
25/03/2021 16:00:00,7.7
26/03/2021 16:00:00,7.97
29/03/2021 16:00:00,8.05
30/03/2021 16:00:00,8.42
31/03/2021 16:00:00,8.6
01/04/2021 16:00:00,9.11
05/04/2021 16:00:00,9.54
06/04/2021 16:00:00,9.94
07/04/2021 16:00:00,9.97
08/04/2021 16:00:00,10.12
09/04/2021 16:00:00,9.88
12/04/2021 16:00:00,9.25
13/04/2021 16:00:00,9.6
14/04/2021 16:00:00,9.88
15/04/2021 16:00:00,10.54
16/04/2021 16:00:00,9.88
19/04/2021 16:00:00,9.62
20/04/2021 16:00:00,9.14
21/04/2021 16:00:00,9.34
22/04/2021 16:00:00,9.01
23/04/2021 16:00:00,9.17
26/04/2021 16:00:00,9.54
27/04/2021 16:00:00,9.32
28/04/2021 16:00:00,9.38
29/04/2021 16:00:00,9.23
30/04/2021 16:00:00,9.18
03/05/2021 16:00:00,9.44
04/05/2021 16:00:00,9.17
05/05/2021 16:00:00,9.97
06/05/2021 16:00:00,10.5
07/05/2021 16:00:00,11.2
10/05/2021 16:00:00,10.9
11/05/2021 16:00:00,11.22
12/05/2021 16:00:00,10.43
13/05/2021 16:00:00,9.96
14/05/2021 16:00:00,9.78
17/05/2021 16:00:00,9.94
18/05/2021 16:00:00,9.88
19/05/2021 16:00:00,9.26
20/05/2021 16:00:00,9.16
21/05/2021 16:00:00,8.85
25/05/2021 16:00:00,8.47
26/05/2021 16:00:00,8.87
27/05/2021 16:00:00,9.28
28/05/2021 16:00:00,9.14
31/05/2021 16:00:00,9.07
01/06/2021 16:00:00,9.41
02/06/2021 16:00:00,9.1
03/06/2021 16:00:00,8.9
04/06/2021 16:00:00,9.23
07/06/2021 16:00:00,8.72
08/06/2021 16:00:00,8.54
09/06/2021 16:00:00,8.5
10/06/2021 16:00:00,8.52
11/06/2021 16:00:00,8.73
14/06/2021 16:00:00,8.46
15/06/2021 16:00:00,7.98
16/06/2021 16:00:00,7.94
17/06/2021 16:00:00,7.68
18/06/2021 16:00:00,7.55
21/06/2021 16:00:00,7.67
22/06/2021 16:00:00,7.78
23/06/2021 16:00:00,8.05
24/06/2021 16:00:00,8.09
25/06/2021 16:00:00,8.25
28/06/2021 16:00:00,8.06
29/06/2021 16:00:00,8.01
30/06/2021 16:00:00,8.25
02/07/2021 16:00:00,8.25
05/07/2021 16:00:00,8.35
06/07/2021 16:00:00,7.96
07/07/2021 16:00:00,8.48
08/07/2021 16:00:00,8.26
09/07/2021 16:00:00,8.65
12/07/2021 16:00:00,8.55
13/07/2021 16:00:00,8.58
14/07/2021 16:00:00,8.5
15/07/2021 16:00:00,8.8
16/07/2021 16:00:00,8.21
19/07/2021 16:00:00,7.62
20/07/2021 16:00:00,7.95
21/07/2021 16:00:00,8.28
22/07/2021 16:00:00,8.35
23/07/2021 16:00:00,8.42
26/07/2021 16:00:00,8.73
27/07/2021 16:00:00,8.9
28/07/2021 16:00:00,8.93
29/07/2021 16:00:00,9.03
30/07/2021 16:00:00,8.91
03/08/2021 16:00:00,8.73
04/08/2021 16:00:00,8.5
05/08/2021 16:00:00,8.46
06/08/2021 16:00:00,8.27
09/08/2021 16:00:00,8.08
10/08/2021 16:00:00,8.24
11/08/2021 16:00:00,8.44
12/08/2021 16:00:00,8.18
13/08/2021 16:00:00,8.31
16/08/2021 16:00:00,7.97
17/08/2021 16:00:00,7.59
18/08/2021 16:00:00,7.37
19/08/2021 16:00:00,6.83
20/08/2021 16:00:00,6.88
23/08/2021 16:00:00,7.39
24/08/2021 16:00:00,7.66
25/08/2021 16:00:00,7.46
26/08/2021 16:00:00,7.45
27/08/2021 16:00:00,7.8
30/08/2021 16:00:00,7.73
31/08/2021 16:00:00,7.72
01/09/2021 16:00:00,7.78
02/09/2021 16:00:00,7.71
03/09/2021 16:00:00,7.92
07/09/2021 16:00:00,7.88
08/09/2021 16:00:00,7.41
09/09/2021 16:00:00,7.47
10/09/2021 16:00:00,7.9
13/09/2021 16:00:00,7.84
14/09/2021 16:00:00,7.82
15/09/2021 16:00:00,7.93
16/09/2021 16:00:00,7.57
17/09/2021 16:00:00,7.24
20/09/2021 16:00:00,6.93
21/09/2021 16:00:00,6.78
22/09/2021 16:00:00,7.07
23/09/2021 16:00:00,7.43
24/09/2021 16:00:00,7.47
27/09/2021 16:00:00,7.76
28/09/2021 16:00:00,7.47
29/09/2021 16:00:00,7.66
30/09/2021 16:00:00,7.9
01/10/2021 16:00:00,7.88
04/10/2021 16:00:00,7.89
05/10/2021 16:00:00,7.84
06/10/2021 16:00:00,7.61
07/10/2021 16:00:00,8
08/10/2021 16:00:00,8.18
12/10/2021 16:00:00,8.4
13/10/2021 16:00:00,8.69
14/10/2021 16:00:00,8.95
15/10/2021 16:00:00,9.26
18/10/2021 16:00:00,9.18
19/10/2021 16:00:00,9.18
20/10/2021 16:00:00,9.16
21/10/2021 16:00:00,8.93
22/10/2021 16:00:00,8.92
25/10/2021 16:00:00,9.11
26/10/2021 16:00:00,8.98
27/10/2021 16:00:00,8.6
28/10/2021 16:00:00,8.73
29/10/2021 16:00:00,8.63
01/11/2021 16:00:00,8.59
02/11/2021 16:00:00,8.35
03/11/2021 16:00:00,8.23
04/11/2021 16:00:00,8.42
05/11/2021 16:00:00,8.46
08/11/2021 16:00:00,9.03
09/11/2021 16:00:00,8.82
10/11/2021 16:00:00,8.69
11/11/2021 16:00:00,9.1
12/11/2021 16:00:00,9.24
15/11/2021 16:00:00,9.28
16/11/2021 16:00:00,9.06
17/11/2021 16:00:00,8.9
18/11/2021 16:00:00,8.84
19/11/2021 16:00:00,8.77
22/11/2021 16:00:00,8.8
23/11/2021 16:00:00,8.98
24/11/2021 16:00:00,9.07
25/11/2021 16:00:00,9.14
26/11/2021 16:00:00,8.62
29/11/2021 16:00:00,8.93
30/11/2021 16:00:00,8.62
01/12/2021 16:00:00,8.5
02/12/2021 16:00:00,8.65
03/12/2021 16:00:00,8.46
06/12/2021 16:00:00,8.62
07/12/2021 16:00:00,9.01
08/12/2021 16:00:00,9.04
09/12/2021 16:00:00,9.04
10/12/2021 16:00:00,8.86
13/12/2021 16:00:00,8.91
14/12/2021 16:00:00,8.69
15/12/2021 16:00:00,8.49
16/12/2021 16:00:00,8.46
17/12/2021 16:00:00,8.39
20/12/2021 16:00:00,8.2
21/12/2021 16:00:00,8.65
22/12/2021 16:00:00,8.86
23/12/2021 16:00:00,9.07
24/12/2021 13:00:00,9.27
29/12/2021 16:00:00,9.16
30/12/2021 16:00:00,9.13
31/12/2021 16:00:00,9.16
